Day,Hour of day,Latitude,Longitude,Ne/cm-3,O+,N+,hmF2,foF2,Tec
2023-05-03,15:30,37.5402,137.3053,338066,945,29,357.4,8.257,1.21
2023-05-03,15:45,37.5402,137.3053,329667,944,28,356.9,8.16,1.17
2023-05-03,16:00,37.5402,137.3053,319719,944,28,355.9,8.056,1.15
2023-05-03,16:20,37.5402,137.3053,308330,944,28,354.5,7.944,1.16
2023-05-03,16:30,37.5402,137.3053,295684,944,28,352.6,7.825,1.2
2023-05-03,16:45,37.5402,137.3053,282049,945,27,350.4,7.699,1.26
2023-05-03,17:00,37.5402,137.3053,267772,945,27,347.7,7.569,1.35
2023-05-03,17:20,37.5402,137.3053,253258,946,28,344.7,7.438,1.46
2023-05-03,17:30,37.5402,137.3053,238948,946,27,341.3,7.311,1.61
2023-05-03,17:45,37.5402,137.3053,225281,947,27,337.5,7.193,1.79
2023-05-03,18:00,37.5402,137.3053,212661,948,27,333.5,7.091,2.01
2023-05-03,18:20,37.5402,137.3053,201422,950,27,329.2,7.012,2.26
2023-05-03,18:30,37.5402,137.3053,191818,951,26,324.8,6.963,2.54
2023-05-03,18:45,37.5402,137.3053,183999,953,26,320.1,6.949,2.87
2023-05-03,19:00,37.5402,137.3053,178022,954,25,315.4,6.975,3.26
2023-05-03,19:20,37.5402,137.3053,173849,956,24,310.6,7.043,3.71
2023-05-03,19:30,37.5402,137.3053,171367,958,24,305.9,7.155,4.23
2023-05-03,19:45,37.5402,137.3053,170397,960,23,301.2,7.309,4.84
2023-05-03,20:00,37.5402,137.3053,170716,962,22,296.6,7.501,5.5
2023-05-03,20:20,37.5402,137.3053,172075,963,22,292.2,7.724,6.22
2023-05-03,20:30,37.5402,137.3053,174218,965,21,288.0,7.972,7.01
2023-05-03,20:45,37.5402,137.3053,176902,966,21,284.1,8.235,7.85
2023-05-03,21:00,37.5402,137.3053,179913,967,21,280.5,8.505,8.73
2023-05-03,21:20,37.5402,137.3053,183072,968,21,277.3,8.771,9.63
2023-05-03,21:30,37.5402,137.3053,186250,969,20,274.6,9.027,10.52
2023-05-03,21:45,37.5402,137.3053,189366,969,20,272.2,9.264,11.39
2023-05-03,22:00,37.5402,137.3053,192381,970,20,270.4,9.477,12.22
2023-05-03,22:20,37.5402,137.3053,195306,970,20,269.0,9.664,12.99
2023-05-03,22:30,37.5402,137.3053,198190,971,20,268.1,9.824,13.68
2023-05-03,22:45,37.5402,137.3053,201104,971,20,267.7,9.956,14.28
2023-05-03,23:00,37.5402,137.3053,204152,972,20,267.8,10.065,14.78
2023-05-03,23:20,37.5402,137.3053,207449,972,20,268.3,10.154,15.2
2023-05-03,23:30,37.5402,137.3053,211118,972,20,269.2,10.228,15.53
2023-05-03,23:45,37.5402,137.3053,215278,973,20,270.6,10.292,15.78
2023-05-03,00:00,37.5402,137.3053,220037,973,20,272.3,10.352,15.97
2023-05-04,01:00,37.5402,137.3053,246395,974,20,282.5,10.554,16.11
2023-05-04,01:20,37.5402,137.3053,254711,974,20,285.1,10.637,16.14
2023-05-04,01:30,37.5402,137.3053,263548,974,20,287.7,10.726,16.15
2023-05-04,01:45,37.5402,137.3053,272722,974,21,290.3,10.818,16.14
2023-05-04,02:00,37.5402,137.3053,282004,974,21,292.7,10.912,16.11
2023-05-04,02:20,37.5402,137.3053,291144,974,21,295.0,11.003,16.06
2023-05-04,02:30,37.5402,137.3053,299864,974,22,297.1,11.088,15.97
2023-05-04,02:45,37.5402,137.3053,307897,973,22,299.0,11.166,15.86
2023-05-04,3:00,37.5402,137.3053,314992,973,23,300.5,11.235,15.78
2023-05-04,3:20,37.5402,137.3053,320939,972,24,301.8,11.291,15.59
2023-05-04,3:30,37.5402,137.3053,325586,972,24,302.8,11.336,15.4
2023-05-04,3:45,37.5402,137.3053,328846,971,25,303.4,11.368,15.21
2023-05-04,04:00,37.5402,137.3053,330695,971,26,303.7,11.389,15.03
2023-05-04,04:20,37.5402,137.3053,331177,970,26,303.7,11.399,14.87
2023-05-04,4:30,37.5402,137.3053,330383,969,27,303.5,11.399,14.73
2023-05-04,04:45,37.5402,137.3053,328453,969,28,302.9,11.391,14.63
2023-05-04,5:00,37.5402,137.3053,325546,968,28,302.2,11.376,14.56
2023-05-04,5:20,37.5402,137.3053,321838,967,29,301.2,11.354,14.52
2023-05-04,5:30,37.5402,137.3053,317500,967,30,300.1,11.326,14.4
2023-05-04,5:45,37.5402,137.3053,312697,966,30,298.8,11.293,14.38
2023-05-04,06:00,37.5402,137.3053,307576,966,31,297.5,11.254,14.35
2023-05-04,06:20,37.5402,137.3053,302266,965,31,296.2,11.209,14.3
2023-05-04,06:30,37.5402,137.3053,296876,965,31,294.9,11.156,14.22
2023-05-04,06:45,37.5402,137.3053,291500,965,32,293.7,11.096,14.1
2023-05-04,07:00,37.5402,137.3053,286211,964,32,292.6,11.026,13.92
2023-05-04,07:20,37.5402,137.3053,281079,964,32,291.7,10.946,13.67
2023-05-04,07:30,37.5402,137.3053,276165,964,32,291.1,10.855,13.34
2023-05-04,07:45,37.5402,137.3053,271530,964,32,290.6,10.753,12.94
2023-05-04,08:00,37.5402,137.3053,267230,964,32,290.5,10.64,12.46
2023-05-04,08:20,37.5402,137.3053,263329,964,32,290.6,10.518,11.9
2023-05-04,08:30,37.5402,137.3053,259903,964,31,291.1,10.388,11.29
2023-05-04,08:45,37.5402,137.3053,257025,964,31,291.9,10.252,10.61
2023-05-04,09:00,37.5402,137.3053,254782,964,31,293.0,10.114,9.89
2023-05-04,09:20,37.5402,137.3053,253264,964,31,294.5,9.976,9.15
2023-05-04,09:30,37.5402,137.3053,252559,964,30,296.3,9.841,8.4
2023-05-04,09:45,37.5402,137.3053,252763,964,30,298.5,9.714,7.66
2023-05-04,10:00,37.5402,137.3053,253959,963,30,300.9,9.595,6.97
2023-05-04,10:20,37.5402,137.3053,256221,963,30,303.6,9.489,6.31
2023-05-04,10:30,37.5402,137.3053,259594,962,30,306.5,9.396,5.72
2023-05-04,10:45,37.5402,137.3053,264099,961,30,309.7,9.317,5.16
2023-05-04,11:00,37.5402,137.3053,269711,960,31,313.0,9.251,4.75
2023-05-04,11:20,37.5402,137.3053,276357,959,31,316.5,9.197,4.36
2023-05-04,11:30,37.5402,137.3053,283911,958,32,320.1,9.154,4.01
2023-05-04,11:45,37.5402,137.3053,292191,956,33,323.7,9.119,3.7
2023-05-04,12:00,37.5402,137.3053,300962,955,33,327.3,9.088,3.41
2023-05-04,12:20,37.5402,137.3053,309958,953,34,330.9,9.06,3.16
2023-05-04,12:30,37.5402,137.3053,318881,952,35,334.5,9.031,2.92
2023-05-04,12:45,37.5402,137.3053,327429,950,35,337.9,8.999,2.7
2023-05-04,13:00,37.5402,137.3053,335317,949,36,341.2,8.963,2.5
2023-05-04,13:20,37.5402,137.3053,342289,948,36,344.2,8.92,2.31
2023-05-04,13:30,37.5402,137.3053,348127,947,36,347.1,8.872,2.13
2023-05-04,13:45,37.5402,137.3053,352668,947,35,349.6,8.816,1.96
2023-05-04,14:00,37.5402,137.3053,355791,946,35,351.9,8.755,1.81
2023-05-04,14:20,37.5402,137.3053,357415,946,34,353.8,8.688,1.67
2023-05-04,14:30,37.5402,137.3053,357490,946,33,355.3,8.617,1.54
2023-05-04,14:45,37.5402,137.3053,355986,945,32,356.5,8.541,1.43
2023-05-04,15:00,37.5402,137.3053,352505,945,31,357.3,8.461,1.34
2023-05-04,15:20,37.5402,137.3053,347297,945,30,357.6,8.376,1.26
2023-05-04,15:30,37.5402,137.3053,340454,945,29,357.5,8.286,1.21
2023-05-04,15:45,37.5402,137.3053,331983,945,28,357.0,8.189,1.17
2023-05-04,16:00,37.5402,137.3053,321939,945,28,356.0,8.086,1.16
2023-05-04,16:20,37.5402,137.3053,310436,945,28,354.5,7.974,1.17
2023-05-04,16:30,37.5402,137.3053,297664,945,27,352.7,7.856,1.2
2023-05-04,16:45,37.5402,137.3053,283896,945,27,350.4,7.731,1.27
2023-05-04,17:00,37.5402,137.3053,269484,945,27,347.6,7.601,1.36
